,original,repaired
train_acc,0.9974391805377721,0.998719590268886
train_acc_n,1562.0,1562.0
test_acc,0.99125,1.0
test_acc_n,1600.0,1600.0
sampled_acc,1.0,0.9118
sampled_acc_n,5000.0,5000.0
avg,0.9977946581720166,0.9457240872335212
