source,exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
config-xor-bad-1-results,32,0.9950846531949754,0.375204806116876,2.9732,1,VORONOI,250,1,[4],22,10,{'select_layer': [[2]]},"{'limit_points': 400, 'resample': True, 'random_state': 42}"
config-xor-bad-1-results,33,,,timeout,1,VORONOI,250,2,[4],22,10,{'select_layer': [[2]]},"{'limit_points': 400, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,1,0.9950846531949754,0.6859639541234298,0.1658,1,GRID,100,1,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-missing-results,2,,,timeout,1,GRID,100,2,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-missing-results,3,,,timeout,1,GRID,100,10,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-missing-results,4,0.9950846531949754,0.8596395412342982,0.5287,1,VORONOI,153,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,5,,,timeout,1,VORONOI,153,2,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,6,,,timeout,1,VORONOI,153,10,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,7,0.9950846531949754,0.6859639541234298,0.6633,1,VORONOI,153,1,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,8,,,timeout,1,VORONOI,153,2,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,9,,,timeout,1,VORONOI,153,10,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,10,0.9950846531949754,0.6859639541234298,0.6153,1,VORONOI,153,1,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,11,,,timeout,1,VORONOI,153,2,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,12,,,timeout,1,VORONOI,153,10,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,13,0.9950846531949754,0.8623702894593118,0.8365,1,VORONOI,153,1,[4],22,1,"{'select_weight': [[2, 2, 1]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,14,,,timeout,1,VORONOI,153,2,[4],22,1,"{'select_weight': [[2, 2, 1]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,15,,,timeout,1,VORONOI,153,10,[4],22,1,"{'select_weight': [[2, 2, 1]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,16,0.9950846531949754,0.6859639541234298,0.9548,1,VORONOI,153,1,[4],22,1,"{'select_weight': [[2, 2, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,17,,,timeout,1,VORONOI,153,2,[4],22,1,"{'select_weight': [[2, 2, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,18,,,timeout,1,VORONOI,153,10,[4],22,1,"{'select_weight': [[2, 2, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,19,0.9950846531949754,0.7785363189513926,1.2023,1,VORONOI,153,1,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,20,,,timeout,1,VORONOI,153,2,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,21,,,timeout,1,VORONOI,153,10,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,22,0.9950846531949754,0.6859639541234298,0.9882,1,VORONOI,153,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
