,original,repaired
train_acc,0.9974391805377721,0.9980793854033291
train_acc_n,1562.0,1562.0
test_acc,0.99125,0.991875
test_acc_n,1600.0,1600.0
sampled_acc,1.0,0.9586
sampled_acc_n,5000.0,5000.0
avg,0.9977946581720166,0.9726782651310953
