exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,0.9950846531949754,0.8596395412342982,0.1818,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
2,0.9950846531949754,0.8694702348443474,0.3253,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
3,unsat,unsat,0.3138,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
4,0.9950846531949754,0.6859639541234298,0.2231,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
5,0.9950846531949754,0.6963407973784818,0.4811,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
6,unsat,unsat,0.2776,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
7,0.9950846531949754,0.6859639541234298,0.1318,1,SAMPLES,450,1,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}",
8,0.9950846531949754,0.9860731840524304,0.7616,1,SAMPLES,450,250,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}",
9,0.9950846531949754,0.977607864554888,48.5508,1,SAMPLES,450,400,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}",
10,0.9950846531949754,0.8623702894593118,0.1597,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
11,0.9950846531949754,0.8694702348443474,0.3382,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
12,unsat,unsat,0.3008,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
13,0.9950846531949754,0.6859639541234298,0.2021,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
14,0.9950846531949754,0.6963407973784818,0.4735,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
15,unsat,unsat,0.3166,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
16,0.9950846531949754,0.7001638448935008,0.2827,1,SAMPLES,450,1,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}",
17,0.9950846531949754,0.977607864554888,0.8516,1,SAMPLES,450,250,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}",
18,0.9950846531949754,0.977607864554888,0.9069,1,SAMPLES,450,400,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}",
19,0.9950846531949754,0.6873293282359366,0.2228,1,SAMPLES,450,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}",
20,0.9950846531949754,0.9860731840524304,1.0418,1,SAMPLES,450,250,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}",
21,0.9950846531949754,0.977607864554888,0.8526,1,SAMPLES,450,400,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}",
22,0.9950846531949754,0.6859639541234298,0.2196,1,SAMPLES,450,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}",
23,0.9950846531949754,0.977607864554888,0.8581,1,SAMPLES,450,250,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}",
24,0.9950846531949754,0.977607864554888,0.8487,1,SAMPLES,450,400,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}",
25,0.9950846531949754,0.6859639541234298,0.1409,1,SAMPLES,450,1,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}",
26,0.9950846531949754,0.9860731840524304,0.5489,1,SAMPLES,450,250,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}",
27,0.9950846531949754,0.977607864554888,0.6092,1,SAMPLES,450,400,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}",
28,0.9950846531949754,0.8596395412342982,0.3448,1,GRID,100,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
