exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,0.9950846531949754,0.6504642271982524,0.2746,1,SAMPLES,450,1,[4],22,5,"{'select_neuron': [[2, 1]]}",
2,0.9950846531949754,0.9817039868924086,30.4846,1,SAMPLES,450,250,[4],22,5,"{'select_neuron': [[2, 1]]}",
3,0.9950846531949754,0.9817039868924086,3.0699,1,SAMPLES,450,400,[4],22,5,"{'select_neuron': [[2, 1]]}",
4,0.9950846531949754,0.6499180775532496,0.3767,1,SAMPLES,450,1,[4],22,5,"{'select_neuron': [[2, 2]]}",
5,0.9950846531949754,0.979792463134899,4.3493,1,SAMPLES,450,250,[4],22,5,"{'select_neuron': [[2, 2]]}",
6,0.9950846531949754,0.9756963407973784,4.9270,1,SAMPLES,450,400,[4],22,5,"{'select_neuron': [[2, 2]]}",
7,0.9950846531949754,0.375204806116876,0.2963,1,SAMPLES,450,1,[4],22,10,{'select_layer': [[2]]},
8,0.9950846531949754,0.979792463134899,43.5956,1,SAMPLES,450,250,[4],22,10,{'select_layer': [[2]]},
9,0.9950846531949754,0.979792463134899,23.6789,1,SAMPLES,450,400,[4],22,10,{'select_layer': [[2]]},
10,0.9950846531949754,0.6608410704533042,0.6119,1,GRID,100,1,[4],22,5,"{'select_neuron': [[2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
11,,,timeout,1,GRID,100,2,[4],22,5,"{'select_neuron': [[2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
12,0.9950846531949754,0.6327143637356636,0.4906,1,GRID,100,1,[4],22,5,"{'select_neuron': [[2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
13,,,timeout,1,GRID,100,2,[4],22,5,"{'select_neuron': [[2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
14,0.9950846531949754,0.375204806116876,0.2936,1,GRID,100,1,[4],22,10,{'select_layer': [[2]]},"{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
15,,,timeout,1,GRID,100,2,[4],22,10,{'select_layer': [[2]]},"{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
16,0.9950846531949754,0.375204806116876,1.2616,1,VORONOI,268,1,[4],22,5,"{'select_neuron': [[2, 1]]}","{'limit_points': 450, 'resample': True, 'random_state': 42}"
17,,,timeout,1,VORONOI,268,2,[4],22,5,"{'select_neuron': [[2, 1]]}","{'limit_points': 450, 'resample': True, 'random_state': 42}"
18,0.9950846531949754,0.375204806116876,1.3593,1,VORONOI,268,1,[4],22,5,"{'select_neuron': [[2, 2]]}","{'limit_points': 450, 'resample': True, 'random_state': 42}"
19,,,timeout,1,VORONOI,268,2,[4],22,5,"{'select_neuron': [[2, 2]]}","{'limit_points': 450, 'resample': True, 'random_state': 42}"
20,0.9950846531949754,0.375204806116876,1.4843,1,VORONOI,268,1,[4],22,10,{'select_layer': [[2]]},"{'limit_points': 450, 'resample': True, 'random_state': 42}"
21,,,timeout,1,VORONOI,268,2,[4],22,10,{'select_layer': [[2]]},"{'limit_points': 450, 'resample': True, 'random_state': 42}"
22,0.9950846531949754,0.375204806116876,1.1264,1,GRID,400,1,[4],22,5,"{'select_neuron': [[2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 2, 'samples_num': 3, 'limit_cells': 400}"
