exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,unsat,unsat,0.1623,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
2,unsat,unsat,0.2116,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
3,unsat,unsat,0.2180,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
4,unsat,unsat,0.1278,1,SAMPLES,450,450,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
5,unsat,unsat,0.1554,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
6,unsat,unsat,0.2130,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
7,unsat,unsat,0.2189,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
8,unsat,unsat,0.1396,1,SAMPLES,450,450,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
9,unsat,unsat,0.1538,1,SAMPLES,450,1,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}",
10,unsat,unsat,0.5816,1,SAMPLES,450,250,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}",
11,unsat,unsat,0.5284,1,SAMPLES,450,400,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}",
12,unsat,unsat,0.1169,1,SAMPLES,450,450,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}",
13,unsat,unsat,0.1712,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
14,unsat,unsat,0.2145,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
15,unsat,unsat,0.2020,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
16,unsat,unsat,0.1255,1,SAMPLES,450,450,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
17,unsat,unsat,0.1471,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
18,unsat,unsat,0.2147,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
19,unsat,unsat,0.2056,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
20,unsat,unsat,0.1310,1,SAMPLES,450,450,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
21,unsat,unsat,0.1508,1,SAMPLES,450,1,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}",
22,unsat,unsat,0.1727,1,SAMPLES,450,250,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}",
23,unsat,unsat,0.1882,1,SAMPLES,450,400,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}",
24,unsat,unsat,0.1191,1,SAMPLES,450,450,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}",
25,unsat,unsat,0.2262,1,SAMPLES,450,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}",
26,unsat,unsat,0.5433,1,SAMPLES,450,250,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}",
27,unsat,unsat,1.0080,1,SAMPLES,450,400,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}",
28,unsat,unsat,0.1194,1,SAMPLES,450,450,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}",
29,unsat,unsat,0.2244,1,SAMPLES,450,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}",
30,unsat,unsat,0.2573,1,SAMPLES,450,250,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}",
31,unsat,unsat,0.2340,1,SAMPLES,450,400,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}",
32,unsat,unsat,0.1210,1,SAMPLES,450,450,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}",
33,unsat,unsat,0.1217,1,SAMPLES,450,1,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}",
34,unsat,unsat,1.0519,1,SAMPLES,450,250,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}",
35,unsat,unsat,0.5713,1,SAMPLES,450,400,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}",
36,unsat,unsat,0.1128,1,SAMPLES,450,450,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}",
37,0.9950846531949754,0.6676679410158384,0.3316,1,SAMPLES,450,1,[4],22,5,"{'select_neuron': [[2, 1]]}",
38,0.9950846531949754,0.9803386127799016,1.7368,1,SAMPLES,450,250,[4],22,5,"{'select_neuron': [[2, 1]]}",
39,0.9950846531949754,0.9751501911523758,27.5279,1,SAMPLES,450,400,[4],22,5,"{'select_neuron': [[2, 1]]}",
40,0.9950846531949754,0.9778809393773894,1.6070,1,SAMPLES,450,450,[4],22,5,"{'select_neuron': [[2, 1]]}",
41,0.9950846531949754,0.6736755871108684,0.2799,1,SAMPLES,450,1,[4],22,5,"{'select_neuron': [[2, 2]]}",
42,0.9950846531949754,0.9803386127799016,3.6565,1,SAMPLES,450,250,[4],22,5,"{'select_neuron': [[2, 2]]}",
43,0.9950846531949754,0.9754232659748772,2.2526,1,SAMPLES,450,400,[4],22,5,"{'select_neuron': [[2, 2]]}",
44,0.9950846531949754,0.979792463134899,1.1933,1,SAMPLES,450,450,[4],22,5,"{'select_neuron': [[2, 2]]}",
45,0.9950846531949754,0.375204806116876,0.3901,1,SAMPLES,450,1,[4],22,10,{'select_layer': [[2]]},
46,0.9950846531949754,0.9751501911523758,40.5056,1,SAMPLES,450,250,[4],22,10,{'select_layer': [[2]]},
47,0.9950846531949754,0.9756963407973784,44.9602,1,SAMPLES,450,400,[4],22,10,{'select_layer': [[2]]},
48,0.9950846531949754,0.9751501911523758,2.8777,1,SAMPLES,450,450,[4],22,10,{'select_layer': [[2]]},
49,0.9950846531949754,0.3762971054068815,2.9959,1,SAMPLES,450,1,[4],22,12,{'select_layer': [[1]]},
50,,,timeout,1,SAMPLES,450,250,[4],22,12,{'select_layer': [[1]]},
51,,,timeout,1,SAMPLES,450,400,[4],22,12,{'select_layer': [[1]]},
52,,,timeout,1,SAMPLES,450,450,[4],22,12,{'select_layer': [[1]]},
53,,,timeout,1,SAMPLES,450,1,[4],22,22,"{'select_layer': [[1], [2]]}",
54,,,timeout,1,SAMPLES,450,250,[4],22,22,"{'select_layer': [[1], [2]]}",
55,,,timeout,1,SAMPLES,450,400,[4],22,22,"{'select_layer': [[1], [2]]}",
56,,,timeout,1,SAMPLES,450,450,[4],22,22,"{'select_layer': [[1], [2]]}",
57,unsat,unsat,0.2499,1,GRID,100,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
58,unsat,unsat,2.0984,1,GRID,100,2,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
59,unsat,unsat,0.2875,1,GRID,100,1,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
60,unsat,unsat,1.7341,1,GRID,100,2,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
61,unsat,unsat,0.2760,1,GRID,100,1,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
