exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,unsat,unsat,0.2911,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
2,unsat,unsat,0.4585,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
3,unsat,unsat,0.4465,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
4,unsat,unsat,0.3036,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
5,unsat,unsat,0.6235,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
6,unsat,unsat,0.4210,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
7,unsat,unsat,2.4687,1,SAMPLES,450,1,[4],22,1,"{'select_bias': [[1, 1]]}",
8,unsat,unsat,0.3630,1,SAMPLES,450,250,[4],22,1,"{'select_bias': [[1, 1]]}",
9,unsat,unsat,0.3723,1,SAMPLES,450,400,[4],22,1,"{'select_bias': [[1, 1]]}",
10,unsat,unsat,0.2835,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
11,unsat,unsat,0.6814,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
12,unsat,unsat,0.4265,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
13,unsat,unsat,0.3074,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
14,unsat,unsat,0.6513,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
15,unsat,unsat,0.6466,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
16,unsat,unsat,1.7687,1,SAMPLES,450,1,[4],22,1,"{'select_bias': [[1, 2]]}",
17,unsat,unsat,0.3911,1,SAMPLES,450,250,[4],22,1,"{'select_bias': [[1, 2]]}",
18,unsat,unsat,0.3878,1,SAMPLES,450,400,[4],22,1,"{'select_bias': [[1, 2]]}",
19,unsat,unsat,0.3048,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
20,unsat,unsat,0.5044,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
21,unsat,unsat,0.5783,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
22,unsat,unsat,0.2821,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
23,unsat,unsat,0.5177,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
24,unsat,unsat,0.5291,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
25,unsat,unsat,1.6216,1,SAMPLES,450,1,[4],22,1,"{'select_bias': [[1, 3]]}",
26,unsat,unsat,0.4550,1,SAMPLES,450,250,[4],22,1,"{'select_bias': [[1, 3]]}",
27,unsat,unsat,0.4343,1,SAMPLES,450,400,[4],22,1,"{'select_bias': [[1, 3]]}",
28,0.9950846531949754,0.4994538503549973,0.2791,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
