exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,unsat,unsat,1.0635,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
2,unsat,unsat,2.8458,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
3,unsat,unsat,4.8991,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
4,unsat,unsat,2.859,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
5,unsat,unsat,2.9982,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
6,unsat,unsat,2.8877,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
7,unsat,unsat,1.1177,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
8,unsat,unsat,5.6701,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
9,unsat,unsat,5.6995,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
10,unsat,unsat,4.9987,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
11,unsat,unsat,5.2845,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
12,unsat,unsat,2.7238,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
13,unsat,unsat,18.7939,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[1, 1]]}",
14,unsat,unsat,2.6118,1,SAMPLES,1562,325,[4],22,1,"{'select_bias': [[1, 1]]}",
15,unsat,unsat,2.2512,1,SAMPLES,1562,750,[4],22,1,"{'select_bias': [[1, 1]]}",
16,unsat,unsat,2.2089,1,SAMPLES,1562,1000,[4],22,1,"{'select_bias': [[1, 1]]}",
17,unsat,unsat,2.4438,1,SAMPLES,1562,1500,[4],22,1,"{'select_bias': [[1, 1]]}",
18,unsat,unsat,3.4623,1,SAMPLES,1562,1561,[4],22,1,"{'select_bias': [[1, 1]]}",
19,unsat,unsat,1.0855,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
20,unsat,unsat,2.9582,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
21,unsat,unsat,3.9507,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
22,unsat,unsat,3.1242,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
23,unsat,unsat,2.9438,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
24,unsat,unsat,2.3424,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
25,unsat,unsat,1.111,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
26,unsat,unsat,6.7338,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
27,unsat,unsat,4.775,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
28,unsat,unsat,2.9228,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
29,unsat,unsat,2.9062,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
30,unsat,unsat,2.608,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
31,unsat,unsat,21.0866,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[1, 2]]}",
32,unsat,unsat,2.6139,1,SAMPLES,1562,325,[4],22,1,"{'select_bias': [[1, 2]]}",
33,unsat,unsat,4.7121,1,SAMPLES,1562,750,[4],22,1,"{'select_bias': [[1, 2]]}",
34,unsat,unsat,4.2984,1,SAMPLES,1562,1000,[4],22,1,"{'select_bias': [[1, 2]]}",
35,unsat,unsat,6.0931,1,SAMPLES,1562,1500,[4],22,1,"{'select_bias': [[1, 2]]}",
36,unsat,unsat,3.5262,1,SAMPLES,1562,1561,[4],22,1,"{'select_bias': [[1, 2]]}",
37,unsat,unsat,1.1095,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
38,unsat,unsat,4.3578,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
39,unsat,unsat,3.7188,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
40,unsat,unsat,3.4284,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
41,unsat,unsat,4.9685,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
42,unsat,unsat,1.0297,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
43,unsat,unsat,1.0784,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
44,unsat,unsat,4.1666,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
45,unsat,unsat,3.9325,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
46,unsat,unsat,3.7106,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
47,unsat,unsat,4.2951,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
48,unsat,unsat,2.2653,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
49,unsat,unsat,14.9907,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[1, 3]]}",
50,unsat,unsat,3.4431,1,SAMPLES,1562,325,[4],22,1,"{'select_bias': [[1, 3]]}",
51,unsat,unsat,3.4567,1,SAMPLES,1562,750,[4],22,1,"{'select_bias': [[1, 3]]}",
52,unsat,unsat,3.0837,1,SAMPLES,1562,1000,[4],22,1,"{'select_bias': [[1, 3]]}",
53,unsat,unsat,3.0044,1,SAMPLES,1562,1500,[4],22,1,"{'select_bias': [[1, 3]]}",
54,unsat,unsat,2.0669,1,SAMPLES,1562,1561,[4],22,1,"{'select_bias': [[1, 3]]}",
55,0.9950846531949754,0.4994538503549973,1.1482,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
56,0.9950846531949754,0.516384489350082,6.7077,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
57,0.9950846531949754,0.516384489350082,6.9974,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
