exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
53,0.9950846531949754,0.9795193883123976,7.2938,1,SAMPLES,1562,1500,[4],22,1,"{'select_bias': [[1, 3]]}",
54,unsat,unsat,1.0215,1,SAMPLES,1562,1561,[4],22,1,"{'select_bias': [[1, 3]]}",
55,0.9950846531949754,0.4980884762424904,1.1052,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
56,0.9950846531949754,0.4980884762424904,6.6393,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
57,0.9950846531949754,0.4980884762424904,6.0846,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
58,unsat,unsat,3.1657,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
59,unsat,unsat,2.9936,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
60,unsat,unsat,1.1753,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
61,0.9950846531949754,0.4972692517749863,1.1033,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
62,0.9950846531949754,0.4978154014199891,3.7272,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
63,0.9950846531949754,0.5174767886400874,6.6493,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
64,0.9950846531949754,0.6409066084107046,6.2918,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
65,unsat,unsat,3.7306,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
66,unsat,unsat,1.5956,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
67,0.9950846531949754,0.3809393773894047,46.2618,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[1, 4]]}",
68,0.9950846531949754,0.375204806116876,7.4338,1,SAMPLES,1562,325,[4],22,1,"{'select_bias': [[1, 4]]}",
69,unsat,unsat,3.4629,1,SAMPLES,1562,750,[4],22,1,"{'select_bias': [[1, 4]]}",
70,unsat,unsat,3.2462,1,SAMPLES,1562,1000,[4],22,1,"{'select_bias': [[1, 4]]}",
71,unsat,unsat,4.4408,1,SAMPLES,1562,1500,[4],22,1,"{'select_bias': [[1, 4]]}",
72,unsat,unsat,0.7432,1,SAMPLES,1562,1561,[4],22,1,"{'select_bias': [[1, 4]]}",
73,unsat,unsat,0.4585,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
74,unsat,unsat,0.4467,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
75,unsat,unsat,0.434,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
76,unsat,unsat,0.9391,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
77,unsat,unsat,0.9279,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
78,unsat,unsat,0.6214,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
79,unsat,unsat,0.4592,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
80,unsat,unsat,0.4481,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
81,unsat,unsat,0.462,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
82,unsat,unsat,1.0094,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
83,unsat,unsat,1.0024,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
84,unsat,unsat,0.6202,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
85,0.9950846531949754,0.6843255051884216,0.4912,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 1, 3]]}",
86,0.9950846531949754,0.6843255051884216,0.4472,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[2, 1, 3]]}",
87,0.9950846531949754,0.6843255051884216,0.4576,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[2, 1, 3]]}",
88,0.9950846531949754,0.9249044238121246,1.2278,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[2, 1, 3]]}",
89,unsat,unsat,0.9579,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[2, 1, 3]]}",
90,unsat,unsat,0.4172,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[2, 1, 3]]}",
91,unsat,unsat,0.435,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 1, 4]]}",
92,unsat,unsat,0.4531,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[2, 1, 4]]}",
93,unsat,unsat,0.4599,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[2, 1, 4]]}",
94,unsat,unsat,1.0983,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[2, 1, 4]]}",
95,unsat,unsat,1.0845,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[2, 1, 4]]}",
96,unsat,unsat,0.4136,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[2, 1, 4]]}",
97,0.9950846531949754,0.9636810486073184,8.3474,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[2, 1]]}",
98,0.9950846531949754,0.9636810486073184,3.2343,1,SAMPLES,1562,325,[4],22,1,"{'select_bias': [[2, 1]]}",
99,0.9950846531949754,0.9636810486073184,3.2349,1,SAMPLES,1562,750,[4],22,1,"{'select_bias': [[2, 1]]}",
