exp_id,avg_acc_before,avg_acc_after,time,config_path,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
29,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_29/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 2, 2]]}",
30,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_30/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[1, 2, 2]]}",
31,unsat,unsat,20.6533,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_31/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[1, 2]]}",
32,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_32/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_bias': [[1, 2]]}",
33,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_33/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_bias': [[1, 2]]}",
34,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_34/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_bias': [[1, 2]]}",
35,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_35/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_bias': [[1, 2]]}",
36,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_36/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_bias': [[1, 2]]}",
37,unsat,unsat,1.1456,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_37/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
38,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_38/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 3, 1]]}",
39,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_39/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 3, 1]]}",
40,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_40/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 3, 1]]}",
41,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_41/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 3, 1]]}",
42,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_42/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[1, 3, 1]]}",
43,unsat,unsat,1.0782,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_43/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
44,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_44/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 3, 2]]}",
45,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_45/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 3, 2]]}",
46,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_46/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 3, 2]]}",
47,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_47/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 3, 2]]}",
48,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_48/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[1, 3, 2]]}",
49,unsat,unsat,20.1395,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_49/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[1, 3]]}",
50,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_50/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_bias': [[1, 3]]}",
51,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_51/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_bias': [[1, 3]]}",
52,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_52/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_bias': [[1, 3]]}",
53,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_53/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_bias': [[1, 3]]}",
54,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_54/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_bias': [[1, 3]]}",
55,0.9950846531949754,0.4980884762424904,1.1415,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_55/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
56,0.9950846531949754,0.4980884762424904,6.5720,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_56/config.json,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
57,0.9950846531949754,0.4980884762424904,8.5371,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_57/config.json,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
58,unsat,unsat,3.9268,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_58/config.json,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
59,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_59/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 4, 1]]}",
60,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_60/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[1, 4, 1]]}",
61,0.9950846531949754,0.4956308028399782,1.1820,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_61/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
62,0.9950846531949754,0.4945385035499727,7.6175,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_62/config.json,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
63,0.9950846531949754,0.4945385035499727,7.8135,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_63/config.json,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
64,unsat,unsat,3.3742,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_64/config.json,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
65,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_65/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 4, 2]]}",
66,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_66/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[1, 4, 2]]}",
67,0.9950846531949754,0.375204806116876,27.2694,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_67/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[1, 4]]}",
