exp_id,avg_acc_before,avg_acc_after,time,config_path,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,1.0,0.7969090909090909,120.856,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_1/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 6, 1]]}",
2,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_2/config.json,2,SAMPLES,6000,500,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 6, 1]]}",
3,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_3/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 6, 1]]}",
4,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_4/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 6, 1]]}",
5,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_5/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 6, 1]]}",
6,1.0,0.8642727272727273,67.8249,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_6/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 4, 1]]}",
7,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_7/config.json,2,SAMPLES,6000,500,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 4, 1]]}",
8,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_8/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 4, 1]]}",
9,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_9/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 4, 1]]}",
10,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_10/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 4, 1]]}",
11,1.0,0.9491818181818181,95.7051,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_11/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 9]]}",
12,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_12/config.json,2,SAMPLES,6000,500,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 9]]}",
13,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_13/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 9]]}",
14,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_14/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 9]]}",
15,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_15/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 9]]}",
16,1.0,0.8858181818181818,137.9025,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_16/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 6]]}",
17,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_17/config.json,2,SAMPLES,6000,500,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 6]]}",
18,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_18/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 6]]}",
19,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_19/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 6]]}",
20,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_20/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 6]]}",
21,1.0,0.8267272727272728,54.6134,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_21/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 3]]}",
22,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_22/config.json,2,SAMPLES,6000,500,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 3]]}",
23,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_23/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 3]]}",
24,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_24/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 3]]}",
25,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_25/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 3, 3]]}",
26,1.0,0.7174545454545455,67.5676,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_26/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 9, 5]]}",
27,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_27/config.json,2,SAMPLES,6000,500,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 9, 5]]}",
28,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_28/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 9, 5]]}",
29,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_29/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 9, 5]]}",
30,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_30/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 9, 5]]}",
31,1.0,0.9949090909090909,93.9904,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_31/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 2, 3]]}",
32,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_32/config.json,2,SAMPLES,6000,500,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 2, 3]]}",
33,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_33/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 2, 3]]}",
34,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_34/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 2, 3]]}",
35,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_35/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 2, 3]]}",
36,1.0,0.993909090909091,37.0834,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_36/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 4, 3]]}",
37,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_37/config.json,2,SAMPLES,6000,500,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 4, 3]]}",
38,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_38/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 4, 3]]}",
39,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_39/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 4, 3]]}",
40,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_40/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 4, 3]]}",
41,1.0,0.9935454545454545,55.6770,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_41/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 8, 3]]}",
42,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_42/config.json,2,SAMPLES,6000,500,"[10, 10]",162,2,"{'select_bias': [[2, 4]], 'select_weight': [[2, 8, 3]]}",
43,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_43/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 8, 3]]}",
44,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_44/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 8, 3]]}",
45,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_45/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[2, 4]], 'select_weight': [[2, 8, 3]]}",
46,unsat,unsat,178.5558,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_46/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_weight': [[2, 6, 1], [2, 4, 1]]}",
47,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_47/config.json,2,SAMPLES,None,500,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 4, 1]]}",
48,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_48/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 4, 1]]}",
49,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_49/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 4, 1]]}",
50,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_50/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 4, 1]]}",
51,unsat,unsat,52.6398,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_51/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_weight': [[2, 6, 1], [2, 3, 9]]}",
52,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_52/config.json,2,SAMPLES,None,500,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 3, 9]]}",
53,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_53/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 3, 9]]}",
54,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_54/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 3, 9]]}",
55,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_55/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 3, 9]]}",
56,unsat,unsat,95.3991,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_56/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_weight': [[2, 6, 1], [2, 3, 6]]}",
57,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_57/config.json,2,SAMPLES,None,500,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 3, 6]]}",
58,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_58/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 3, 6]]}",
59,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_59/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 3, 6]]}",
60,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_60/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 3, 6]]}",
61,1.0,0.7276363636363636,82.2533,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_61/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_weight': [[2, 6, 1], [2, 3, 3]]}",
62,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_62/config.json,2,SAMPLES,6000,500,"[10, 10]",162,2,"{'select_weight': [[2, 6, 1], [2, 3, 3]]}",
63,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_63/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 3, 3]]}",
64,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_64/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 3, 3]]}",
65,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_65/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 3, 3]]}",
66,1.0,0.9923636363636363,26.7549,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_66/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_weight': [[2, 6, 1], [2, 9, 5]]}",
67,1.0,0.7416363636363636,21.1097,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_67/config.json,2,SAMPLES,6000,500,"[10, 10]",162,2,"{'select_weight': [[2, 6, 1], [2, 9, 5]]}",
68,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_68/config.json,2,SAMPLES,6000,1000,"[10, 10]",162,2,"{'select_weight': [[2, 6, 1], [2, 9, 5]]}",
69,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_69/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 9, 5]]}",
70,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_70/config.json,2,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 9, 5]]}",
71,1.0,0.8554545454545455,93.5481,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_71/config.json,2,SAMPLES,6000,1,"[10, 10]",162,2,"{'select_weight': [[2, 6, 1], [2, 2, 3]]}",
72,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_72/config.json,2,SAMPLES,6000,500,"[10, 10]",162,2,"{'select_weight': [[2, 6, 1], [2, 2, 3]]}",
73,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_73/config.json,2,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 2, 3]]}",
74,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-3/exp_74/config.json,2,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[2, 6, 1], [2, 2, 3]]}",
