exp_id,avg_acc_before,avg_acc_after,time,config_path,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,unsat,unsat,158.505,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_1/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_weight': [[1, 1, 1]]}",
2,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_2/config.json,1,SAMPLES,None,500,"[10, 10]",None,None,"{'select_weight': [[1, 1, 1]]}",
3,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_3/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[1, 1, 1]]}",
4,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_4/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[1, 1, 1]]}",
5,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_5/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[1, 1, 1]]}",
6,1.0,0.751,122.9235,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_6/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_weight': [[1, 1, 2]]}",
7,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_7/config.json,1,SAMPLES,6000,500,"[10, 10]",162,1,"{'select_weight': [[1, 1, 2]]}",
8,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_8/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[1, 1, 2]]}",
9,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_9/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[1, 1, 2]]}",
10,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_10/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[1, 1, 2]]}",
11,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_11/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_bias': [[1, 1]]}",
12,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_12/config.json,1,SAMPLES,None,500,"[10, 10]",None,None,"{'select_bias': [[1, 1]]}",
13,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_13/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[1, 1]]}",
14,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_14/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[1, 1]]}",
15,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_15/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[1, 1]]}",
16,unsat,unsat,210.0129,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_16/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_weight': [[1, 2, 1]]}",
17,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_17/config.json,1,SAMPLES,None,500,"[10, 10]",None,None,"{'select_weight': [[1, 2, 1]]}",
18,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_18/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[1, 2, 1]]}",
19,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_19/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[1, 2, 1]]}",
20,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_20/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[1, 2, 1]]}",
21,1.0,0.734909090909091,128.7033,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_21/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_weight': [[1, 2, 2]]}",
22,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_22/config.json,1,SAMPLES,6000,500,"[10, 10]",162,1,"{'select_weight': [[1, 2, 2]]}",
23,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-2/exp_23/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[1, 2, 2]]}",
