exp_id,avg_acc_before,avg_acc_after,time,config_path,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,unsat,unsat,1.1161,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_1/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1], [1, 1, 2]]}",
2,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_2/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 1, 2]]}",
3,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_3/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 1, 2]]}",
4,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_4/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 1, 2]]}",
5,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_5/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 1, 2]]}",
6,unsat,unsat,1.4183,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_6/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 1]]}",
7,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_7/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 1]]}",
8,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_8/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 1]]}",
9,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_9/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 1]]}",
10,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_10/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 1]]}",
11,unsat,unsat,1.7341,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_11/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1], [1, 2, 1]]}",
12,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_12/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 2, 1]]}",
13,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_13/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 2, 1]]}",
14,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_14/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 2, 1]]}",
15,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_15/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 2, 1]]}",
16,unsat,unsat,2.2498,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_16/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1], [1, 2, 2]]}",
17,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_17/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 2, 2]]}",
18,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_18/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 2, 2]]}",
19,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_19/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 2, 2]]}",
20,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_20/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 2, 2]]}",
21,unsat,unsat,1.7678,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_21/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 2]]}",
22,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_22/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 2]]}",
23,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_23/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 2]]}",
24,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_24/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 2]]}",
25,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_25/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 2]]}",
26,unsat,unsat,2.0922,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_26/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1], [1, 3, 1]]}",
27,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_27/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 3, 1]]}",
28,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_28/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 3, 1]]}",
29,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_29/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 3, 1]]}",
30,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_30/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 3, 1]]}",
31,unsat,unsat,2.0382,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_31/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1], [1, 3, 2]]}",
32,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_32/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 3, 2]]}",
33,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_33/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 3, 2]]}",
34,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_34/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 3, 2]]}",
35,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_35/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 3, 2]]}",
36,unsat,unsat,2.9414,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_36/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 3]]}",
37,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_37/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 3]]}",
38,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_38/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 3]]}",
39,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_39/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 3]]}",
40,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_40/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 3]]}",
41,0.9950846531949754,0.4983615510649918,2.7518,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_41/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1], [1, 4, 1]]}",
42,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_42/config.json,1,SAMPLES,1562,325,[4],22,2,"{'select_weight': [[1, 1, 1], [1, 4, 1]]}",
43,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_43/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 4, 1]]}",
44,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_44/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 4, 1]]}",
45,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_45/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 4, 1]]}",
46,0.9950846531949754,0.4961769524849809,5.5016,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_46/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1], [1, 4, 2]]}",
47,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_47/config.json,1,SAMPLES,1562,325,[4],22,2,"{'select_weight': [[1, 1, 1], [1, 4, 2]]}",
48,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_48/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 4, 2]]}",
49,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_49/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 4, 2]]}",
50,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_50/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 4, 2]]}",
51,0.9950846531949754,0.375204806116876,2.5364,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_51/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 4]]}",
52,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_52/config.json,1,SAMPLES,1562,325,[4],22,2,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 4]]}",
53,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_53/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 4]]}",
54,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_54/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 4]]}",
55,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_55/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 4]]}",
56,0.9950846531949754,0.685417804478427,2.5529,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_56/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1], [2, 1, 1]]}",
57,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_57/config.json,1,SAMPLES,1562,325,[4],22,2,"{'select_weight': [[1, 1, 1], [2, 1, 1]]}",
58,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_58/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1], [2, 1, 1]]}",
59,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_59/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1], [2, 1, 1]]}",
60,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_60/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1], [2, 1, 1]]}",
61,unsat,unsat,1.2543,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_61/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1], [2, 1, 2]]}",
62,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_62/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 1], [2, 1, 2]]}",
63,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-11-2props-2w/exp_63/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1], [2, 1, 2]]}",
